FREQUENCY,DATE,LOCATION_NAME,LOCATION_F5,LOCATION_ID,LOCATION_REGIONID,VARIABLE_NAME,VALUE,VARIABLE_ID
Annual,2001,Tamil Nadu,FALSE,IN-TN,IN-TN,Population Density,480,KN.H13
Annual,2011,Goa,FALSE,IN-GA,IN-GA,Population Density,394,KN.H13
Annual,2001,Gujarat,FALSE,IN-GJ,IN-GJ,Population Density,258,KN.H13
Annual,2011,Himachal Pradesh,FALSE,IN-HP,IN-HP,Population Density,123,KN.H13
Annual,2001,Jharkhand,FALSE,IN-JH,IN-JH,Population Density,338,KN.H13
Annual,2011,Orissa,FALSE,IN-OR,IN-OR,Population Density,269,KN.H13
Annual,2001,West Bengal,FALSE,IN-WB,IN-WB,Population Density,903,KN.H13
Annual,2011,West Bengal,FALSE,IN-WB,IN-WB,Population Density,1029,KN.H13
Annual,2001,Maharashtra,FALSE,IN-MH,IN-MH,Population Density,315,KN.H13
Annual,2001,Meghalaya,FALSE,IN-ML,IN-ML,Population Density,103,KN.H13
Annual,2011,Uttarakhand,FALSE,IN-UT,IN-UT,Population Density,189,KN.H13
Annual,2001,India,FALSE,IN,IN,Population Density,325,KN.H13
Annual,2011,Haryana,FALSE,IN-HR,IN-HR,Population Density,573,KN.H13
Annual,2011,Jharkhand,FALSE,IN-JH,IN-JH,Population Density,414,KN.H13
Annual,2011,Jammu & Kashmir,FALSE,IN-JK,IN-JK,Population Density,124,KN.H13
Annual,2001,Mizoram,FALSE,IN-MZ,IN-MZ,Population Density,42,KN.H13
Annual,2001,Puducherry,FALSE,IN-PY,IN-PY,Population Density,2030,KN.H13
Annual,2001,Rajasthan,FALSE,IN-RJ,IN-RJ,Population Density,165,KN.H13
Annual,2001,Sikkim,FALSE,IN-SK,IN-SK,Population Density,76,KN.H13
Annual,2001,Himachal Pradesh,FALSE,IN-HP,IN-HP,Population Density,109,KN.H13
Annual,2011,Madhya Pradesh,FALSE,IN-MP,IN-MP,Population Density,236,KN.H13
Annual,2011,Punjab,FALSE,IN-PB,IN-PB,Population Density,550,KN.H13
